artist_name,track_name,release_date,genre,lyrics
demonaz,northern hymn,2011,metal,"gods of the mountains sky, forest and seas lands of fire, ice and the northern deeps cold as a storm from the raging sea soon their winds to rise gods of the mountains sky, forest and seas lands of fire, ice and the northern deeps cold as a storm from the raging sea soon their winds to rise"
demonaz,under the great fires,2011,metal,"rise gods of the fierous black burning skies raise hammers spears and swords high on your ride along the great legends born of fire and ice warriors on horses attack from the mountainous sides fires shall flame to the skies all battalions stride alliances stand line by line hordes of men armoured to die fight warriors of norse while death glances in your eyes swing axes and blades unto the final ride attrition holds forces under the great fires now heathenous shall be the victors with swords forged by fire a warcry shall echo the rise loud from the fierce mountainside all set their lives on the line to death which is for you all to sign ride under the fire under the great fires man of the mountains ride under the fire under the great fires no man of the mountains ride under the fire under the great fires man of the mountains ride under the fire under the great fires man of the mountains ride with the wind in your eyes break through the enemies lines dark is the power we rise here under the great fires victory stands on this days bring to all warriors their fate ride our enemies down bring them all to the ground march under the gods of our fathers unite march under the flag of the norse ""oden"
demonaz,all blackened sky,2011,metal,a dying skyline cold from wind and rain autumn of darkness end in fire and flames north blows the wind and my sight is afar along the coming of the northern stars fires burnt under these skies here ancient norsemen once brought us to pride a heathen force is to rise on these days the sun still fanding soon clouds of black rage we're all blackened skies we're all blackened skies we're under all blackened skies the heir of gods to arise we're under all blckened skies the heir of our ancient pride we're all blackened skies we're all blackened skies we're all blackened skies we're all blackened skies
demonaz,legends of fire and ice,2011,metal,fiends of the gods to war we ride over the black mountain far over ice fields of war before us now ride by my side ride by my side fire warriors of the north hold your swords high ride forth the stallions black all free under sky you
demonaz,ode to battle,2011,metal,cold is the winter on its ground we ride to the battlefield under battlesky warriors are we to fight on this day brothers at side to the battle ride
demonaz,dying sun,2011,metal,[instrumental]
demonaz,over the mountains,2011,metal,over the mountains again wandering above the plains far up on my mountainside under the fiery lights i call my world the mountains of fire i am watching the flames i call my world the mountains of fire and flames fire and flames upon the mountain i stand horizon sights at my hand watching all over the sky at one with the burning light i call my world the mountains of fire i am throning my day i call my world the mountains of fire bound to my fate i call my world the mountains of fire i am watching the flames i call my world the mountains of fire and flames fire and flames over the mountains over the mountains over the mountains over the mountains over the mountains over the mountains over the mountains over the mountains
demonaz,march of the norse,2011,metal,dethroned worlds on fire under the ice all who shall be men soon come to rise i'm a man of mountains i stand my side a man of the forests a man of pride the wars between us so choose your side those who oppose us be damned to fight we're men of iron we're men of might behold the power against the world we rise march of the norse march of the norse restless for vengeance we call to arms all born to conquer born of nordlights here's a world of winter here's a world of ice a world of warriors with death in the eyes darkness rages the end of time northern wars beyond your minds darkness rages the end of time northern wars beyond your minds march of the norse march of the norse we're men of iron we're men of might behold the power against the world we rise march of the norse march of the norse march of the norse march of the norse
demonaz,where gods once rode,2011,metal,"once shadows called i saddled my horse to the heights i rode over misty mountains through days of cold i battled by the sword from wars blood i drank the flaming breath of strife the gods were young none ruled under the sky at the end of worlds began the time of alliance forsworn to gold, men sold their sword to kings steel were made for those above the din of battle i see my ride where gods once rode i see my ride where gods once rode great fathers of the sky, fathers of the gods and the mighty mountain i ride under heavy skies for the will of iron and the pride of my kind looked in the fire of thy doom the prophecies were all true now the world is ending to the end of days shall come soon i see my ride where gods once rode i see my ride where gods once rode"
demonaz,a son of the sword,2011,metal,"i rode for the moments once under red sky born for the wars fearless inside i fought for the honor, great kingdoms and ground once proud a warrior northborn a son gods live on to battle kings live under sigh warriors hunger blood with death in the eye i"
echoterra,all the lies,2013,metal,"somewhere in time there was a dream a dream i felt deep inside that no one could understand where do i go now? when will i find my way? all the lies i've left behind seem so far now from my mind now i take i look inside, what's left of me from the life that once was mine i tried to heal the wounds of time never really did believe the lies were real from beyond i'm reminded of a memory now its gone into the gray of the moment where do i go now? when will i find my way? all the lies i've left behind seem so far now from my mind now i take i look inside, what's left of me from the life that once was mine i tried to heal the wounds of time never really did believe the lies were real where do i go now? when will i find my way? all the lies i've left behind seem so far now from my mind now i take i look inside, what's left of me from the life that once was mine i tried to heal the wounds of time never really did believe the lies were real"
