artist_name,track_name,release_date,genre,lyrics
lefty frizzell,if you've got the money i've got the time,1950,country,money time honky tonkin time night spot dance drink beer wine money time tarry start tonight spread spread right baby line money time money time honky tonkin time bring cadillac leave wreck money time honky tonkin club dark fool short money short time cause money time money time honky tonkin time night spot dance drink beer wine money time
lefty frizzell,i want to be with you always,1950,country,lose blue heart stay go sing song wanna dear near forever travel shinin guitar stay sweetheart feel want blame work wrong cause true blue
lefty frizzell,how long will it take (to stop loving you),1950,country,long count star long climb mar long world stand true long stop love long water deep long mountain stand steep long world long stop love long forever time dear long true long stop love
lefty frizzell,look what thoughts will do,1950,country,think love think love look thoughts today wear crown think make world round watch thoughts future years bring tear think sure thoughts help dear think build home home think kiddies look thoughts know feel real guess appeal forget deal goodbye think blue look thoughts
lefty frizzell,treasure untold,1950,country,dream eye blue love forever long dear want near girl dream tell heart little girl treasure untold kiss give life sweetest dream precious gold sweet face dear smile eye story tell heart little girl treasure untold
lefty frizzell,my old pal,1950,country,songwriter rodgers think tonight wish dream time days go fill heart cheer remember nights sing sweet face place heart pal best friends place like pal yesterday original rodgers yodel wonder tonight think weary heart light sweetheart face checker life come right dream pal
lefty frizzell,always late (with your kisses),1950,country,late kiss come arm sweet darling stay late kiss want long think know late late kiss want late kiss
lefty frizzell,i love you a thousand ways,1950,country,prove days come swear true darlin think past prove days come darling true good heart apart true prove someday heart stay blue lonesome days prove thousand ways nice sweet blue prove everyday kinds ways darlin free change great change true blue days
lefty frizzell,"she's gone, gone, gone",1950,country,say deceive go count guess believe cause look trouble go go go go go go cry bring faster train fly farther track lose right lose heaven warn leave leave tear grind know crawl hand knees tick clock reminder second farther
lefty frizzell,the long black veil,1950,country,years cold dark night kill neath light scene agree slayer look like judge say alibi speak word mean life arm best friend wife walk hill long black veil visit grave night wind wail know see know scaffold high eternity near stand crowd shed tear night cold wind moan long black veil cry bone walk hill long black veil visit grave night wind wail know see know know know
lefty frizzell,"give me more, more, more (of your kisses)",1950,country,date come kinda late goodnight door kiss kiss want tender kiss finally hear rooster crow tender kiss admit lose sleep stay late kiss goodnight sleep kiss want tender kiss neighbor raise know shame tender kiss neighbor block offer things wed bill yell kiss tender kiss leave door hear tender kiss
lefty frizzell,lost love blues (rehearsal session),1951,country,want hear blue stay wanna tell story story blue want listen baby sing want hear blue stay somebody mean world leave leave heart misery know leave blue gonna leave blue thing think leave leave blue hadn give blue wouldn sweet gonna tell say blue right blue right say blue right blue right right right right right night time leave blue thing think leave leave blue hadn give blue wouldn sweet gonna sing blue right blue right say blue right blue right right right right right night say blue right blue right say blue right blue right right right right right night time say blue right blue right say blue right blue right right right right right right right right right right night want hear blue stay blue right
lefty frizzell,i'll try,1951,country,funny run funny run run memories sweetheart today steal away promise true tell fine know run memories know regret heartache forget tell sweetheart goodbye brush teardrop walk lonely avenue fall fell think fool wishful
lefty frizzell,all of me loves all of you,1951,country,prove days come swear true darlin think past prove days come darling true good heart apart true prove someday heart stay blue lonesome days prove thousand ways nice sweet blue prove everyday kinds ways darlin free change great change true blue days prove thousand ways
lester flatt,no mother in this world today,1951,country,mother world mother home place mother go mother world today hand care till meet promise land shall forget mother say farewell miss world tell mother world
brownie mcghee,long gone,1951,country,looka yonder redeyed captain comin long go like turkey corn long go like turkey corn long go long go long jamas long jamas captain whicher tell woods makin ninetyfo long go like turkey corn long go like turkey corn long go long go long jamas looka yonder redeyed captain comin long go like turkey corn long go like turkey corn long go long go long jamas long jamas long go like turkey corn long go like turkey corn long go long go long jamas long jamas go river know couldn cross know grab alligator think horse long go like turkey corn long go like turkey corn long go long go long jamas long jamas long go ahead long go wish luck long go farewell long go ahead long go ahead long go long long jamas
lefty frizzell,i know you're lonesome (while waiting for me),1951,country,give golden ring sing play guitar long time change rearrange tie bind remain come say smile go suddenly hear know tread wing open door give golden ring sing
lefty frizzell,that's me without you,1951,country,stand good waste comb hair shave face lean wine tell tear grow mirror stand mirror cause heartache hide tear grow
lester flatt,give me the flowers (while i'm living),1951,country,world today live folks worst dead casket slip lilies hand flower live enjoy pleae till ready bury slip lilies hand world need flower kind word help flower live throw go flower
lester flatt,gone home,1951,country,friends love yesterday go home go home go home songbirds sing go home go home go home join heavenly fold walk streets pure gold leave work go home go home go home life lonely go go home go home go home weep stand door sadly say go home go home trumpet sound great judgment go home go home go home friends go go home go home go home
lester flatt,i still miss someone,1951,country,door leave fall cold wild wind come sweethearts walk miss blue eye everywehere miss arm hold wonder sorry leave begin miss
lefty frizzell,don't stay away (till love grows cold),1951,country,stay away long darling dear soul sweetheart part stay away till grow cold share kinds weather rain cold grow stay away long darling stay away till grow cold share kinds weather
lester flatt,who will sing for me?,1951,country,sing friends death cold hand call sing song wonder sing call silent sing sing till helpful assure friends sing song wonder sing
lester flatt,he took your place,1951,country,rugged cross calvary bless savior cry forgive know sinner friend thee die hand gently knock door outside plead come heart break wait free someday come claim heaven golden shore crown life give live forever cruel thorns pierce savior head blood flow face shame forsake hang die sinner friend take place
lefty frizzell,forever (and always),1951,country,forever true lifetime ask leave blue forever night pray dream come true hear prayer care life offer riches heart true gold forever hold night pray dream come true hear prayer care life offer riches heart true gold forever hold
brownie mcghee,black snake moan,1951,country,come little children come moon shinin bright river flow gonna raise ruckus tonight night goin cross acre field raise ruckus tonight black snake heel raise ruckus tonight turn right best raise ruckus tonight fell right hornet nest raise ruckus tonight uncle promise raise ruckus tonight die raise ruckus tonight live long head bald raise ruckus tonight notion dyin raise ruckus tonight goin raise ruckus tonight ridin goat need hound raise ruckus tonight hound bark goat jump raise ruckus tonight stretch stump raise ruckus tonight
johnny cash,the little drummer boy,1951,country,tell newborn finest gift bring come baby poor gift bring play drum mother nod keep time play drum play best smile drum
lester flatt,i'm walking with him,1951,country,lonely live saviours wait patiently plan soon firm foundation thats build gods hand start build road gloryland workin road lead want hold saviours hand build things eternal workin road gloryland listen sinner time come know promise live know suffer sin die cross believe soul lose
lester flatt,wait for the sunshine,1951,country,cloud roll away maybe tomorrow go sorrow bring brighter sorrow trouble see double black cloud surround time misfortune discourage remember tomorrow shine forever laughter misery chin tomorrow come
