artist_name,track_name,release_date,genre,lyrics
boogie down productions,ghetto music,1989,hip hop,like sound hear ghetto music ghetto music ghetto music ghetto music tune easy listen sound gown crown glitter makeup smashin lyric hit advice free industry gotta grow commercial know important underground superstar like gotta question speak facts start guessin learn lesson plan career commercial underground cause side write hit admit come explain people play game wanna like wrong writin reality song touch issue talk knowledge want base cause bring racist bring pink yeah stop guess alright demonic guess alright demonic chapter book come different look look commercial underground ghetto sound music refuse rockin ghetto music people tellin need radio yeah gotta like soandso platinum attack rhyme ghetto teach ghetto change heck ghetto stay mellow effect ready fresh nineteen eightynine suckers peace jungle brothers come master start heart fall apart like dart shoot target ghetto music yeah chart cause eightynine purpose rhyme strengthen uplift mind achieve achieve achieve simple leave cause time respect lose ghetto music ghetto music ghetto music ghetto music ghetto music
boogie down productions,jack of spades,1989,hip hop,start heart take time heart come everybody fear crashin door whore bringin gold chain krsone see human make excuse losers chainsnatchers pimp drug abusers like gotta pushin somebody start mushin suckers claimin rule environment buyin think everybody teach buy take short cause hasn pay spade dnice scratch calm kind courageous loyal temper boil cause like whistle blow right go crime commit right tail bail thinkin bout jail end justify mean scene track movement lose cause come attack crack cocaine cop fiends heat gold chain game destroy stereotype hype crack pip like criminals crime mind come kungfu hammer slammer renegade teacher scholar gotta fall line hear rhyme cause time theme song call spade dnice scratch know spade posse wanna watch throw hand scream yeah yeahhh time yeahhh flash rhyme cool loud quiet head cause spade riot cleanin community debris crime road long scary average couldn average take piece brother gotta admit martyr soldier hero start zero battle clearly understand power payin people hour sell stand gettin everybody high high cable cash table currency able cop prop pay come spade dnice scratch break dnice scratch fresh spade suckers
boogie down productions,the style you haven't done yet,1989,hip hop,number soundlive ghetto music produce krsone widdybyebye byebye byebye widdybyebye byebye byebye come claim attain level rhymin listen lyin tryin years stop change rearrange producer touch microphone loser laugh smirk belong perform song specific style gift poetically uplift speak attack maybe rhyme statue tell people literally come rockin funky lyric better endlessly recitin poetry time street hear voice know krnope ready teach style attain widdybyebye widdybyebye widdy byebye byebye byebye widdybyebye widdy byebye widdybyebye widdy byebye byebye byebye widdybyebye plumb know krsone come sing style sing rock party gotta suckers want krsone instead japslap teacher wack like stack hit albums triplelayer cake throw face waste pick taste poet black race whip whine touch time rhyme black effect jeeeeeeesus gosh dude gosh dude crew juice crew
boogie down productions,gimme dat (woy),1989,hip hop,right right bring smooth alright hello whassup happenin know teacher rappin need slappin cause sayin wack weak speak sucker comin face yangyang chain gang draggin feet beat produce library teach hiphop live smidgen givin krsone encore freshman sophomore graduate school short world rappin bring single style create offbeat seat create style study single week come face like rulin teacher foolin defense common sense confidence intelligence excellence intense difference krsone mean ignorance obediance magnificence reference stop violence criminal mind poetry hat title gimme little test bust attention feel like lettin lyric steppin jettin gettin respect teacher meet number drop science teach correct catch style like treat like bite kind hungry calcan step cause time hold hand slam understand teacher professor scholar makin dollars trainer entertainer makin holla numero number best perfectionist crazy fresh gimme original original original original
boogie down productions,the blueprint,1989,hip hop,blueprint musty fusty clear noncommercial bring positive people plus equal slammin lyric beat unquestionable professional guess grab album rock market strong hearted target bloo target shoot lyric reload clip bloo hit grind opponents weak crown bloo bloo title come disaster listen laughter heart capture cause lecture texture wack cause time weakness teacher speak dialect gain nuff resect money care cause boogie productions worldwide coast coast soft commercial sound ghetto cause refuse understand know copy read blueprint keepin track wack step speak wack cause pack posse stupid watch stop original copy sloppy sloppy slouch time bite yell ouch breakout lose throat hoarse lose cause dope course come years practice antislackness antiwackness throw glass teach mass simple question stomp somebody say comp thousands overseas soft leave door coat mitt cause read blueprint
boogie down productions,breath control,1989,hip hop,tell bout crew know call boogie productions steal larock krsone dnice know know know know krsone check breath control example appeal criminal mind blind open eye stop dissin prescription listen class real fast fresh gettin leave keep accept material rhyme artificially flavor like cereal like clarity come speak clear concise little slack wack slap fuck boogie productions simply cause leave radical sound mess roll fess wild guess think best turn burn rhyme immediately come boomin dope provoke walkin rope rope word lookin string sing sing bring enlightenment suckers bitin radio fightin fan likin face wipin cause mouth dirty unworthy think serve hear style universal need rehearsal beef rhyth rhymin timin climbin realize producer dope record think time break second breath control break track resume attack crew wack lack mean like play style rockin radical rebel level go know mean doom boom consume room fraction capital krsone bdbdbdbdp takin constantly deal wheel steal come kneel queen playboy wack feel understand jam krsone slam hypothetically reality takin small technicality rhyme like rhyme like come handy diss soft silly budget sucker like style need house shelf label sucker style like
einstein,the tables are turnin',1990,hip hop,share hard time niggas serve hard time involve niggas lose live hollywood pass nearly lose mind roll traffickers work maximas stretch nervous ask bitch purpose gotta search ask question decide hoe fuck shop thug thug shit turn niggas deep thug shit money fuck little nigga touch little move home fuck little feel know guess write recognize quoteable lap loneliest time survive loneliest nights think struggle time survive nickel dime bread world shoot bitch best friends talk show everybody walk party club function leave bring discussions fuck best friends talk abortions little girls hair braid porches promise share losses baby daddy pass share losses get cnotes hoppers death irish hoe deep throat yeah beef know anybody know flow miami bitch know nice entourage lock mint wonder bras club miss lap know funny table turn move forward thank lessons learn strip club step stone stage pay wasn second home somebody shit streets roll wrap late nights shit beach bring blue baby jeans shit tall body guy underneath bottle feet scream tryna club show time face think disappoint fell fell accept wouldn tell try cell lap
the original squad,all the blacks,1990,hip hop,close light glow go eye good life reason go live die start walk hearts lose like wither leave fall late realize lose start walk hearts lose
asher d,bite of love,1990,hip hop,leave live watch dream turn ash hop bits go fool care live maintemant vaisje faire tout temps sera tous gens indiffèrent maintenant parti go fool care live goodbye
asher d,we are the champions,1990,hip hop,shit shit shit shit shit shit shit shit shit
