artist_name,track_name,release_date,genre,lyrics
prince buster,just you,1963,reggae,moments warmth devour kick hours miss bellefleur wanna cuddle mistake toddler gotta puddle separate worlds create vivid parallax different habitats circle round like labrat opposites attract mudcakes porcelain plat natural intimacy watch knees shake bust bust repeat bake baby need patiently adventurous place dangerous instantly favourite endless bucketlists hella spot skate tick vacation sweeter fragrance acquire knowledge baby teacher dnms bleacher nature feature learn cover go treat goals college know keeper refrain moments warmth devour kick hours miss bellefleur outro bellefleur live bellefleur live
prince buster,they got to come,1963,reggae,pick lick bounce right hard dead hard dead pick lick bounce right hard dead hard dead life ninetynine life cause pick lick bounce right hard dead hard dead boil chocolate fry fish catch quart say wait night come time hear dead dead black eye head dead procession lead cemetery howl bury pick lick bounce right hard dead hard dead hard dead instrumental interlude boil chocolate fry fish catch quart say wait night come time hear dead dead black eye head head goin cemetery holla howl bury drop hard dead hard dead pick lick bounce right hard dead hard dead pick lick bounce right hard dead hard dead hard dead
owen gray,next door neighbour,1964,reggae,tightrope fall time look graceful dance life know outcome wire suffer settle look perfect reign silent days display shame hurt stand suffer settle suffer settle suffer settle place mantle shower praise feel important dig grave suck lemons laugh stage suffer settle suffer settle suffer settle suffer settle hate settle backseat brother tryin undercover tell change ways cheerleader deceit practise leave amaze mean phrase door neighbor girl favor phase work friends go past end think work friends go past end think work friends go past end think work friends go past end think hate
bob marley & the wailers,simmer down,1964,reggae,truth truth help blackwell nassau bahamas drink blood fowl glass studio compass point help truth invite jamaica open studio go event eye seriously say truth long live offer fresh fowl blood say stud drink blood solid root truth fear gear drink blood blackwell vampire speak truth electric lawyer vampire speak truth electric wire secretary witch claim high priestess believe cult voodoo obeah tell truth international news jews international news blue blackwell vampire suck blood sufferer kill away royalty kill penalize wailers blackwell vampire suck blood sufferer vampire suck blood sufferer blackwell kill away royalty speak truth work mafias blackwell nassau drink blood chicken glass heart offer drink say deal schism clean root clean truth clean youth drink blood blackwell come jamaica want sign artists want control jamaican music black music promote white artists jahovia rastafari work jerk simmer lickin cool temper blackwell cool heart walk step judgment babylon judgment babylon human right declaration land universally earth wind earth wind blackwell vampire suck blood sufferer columbus blackwell vampire suck blood sufferer give cancer couldn youngster
prince buster,i got a pain,1964,reggae,okay change direction flex message yeah message fuck squad respect drive real slow lose direction baby grab fuck wheel dance magic pill yeah shit matter shit matter shit matter shit matter shit matter shit matter stash hundreds safe shrimp tempor plate rappers bitch complain shit matter stay board plane shit matter bitch wetter pool everybody cool smartest shit woah spark booth chunk deuce room dude prove niggas hatin cause pocket kind clout partner envy chip matter sorry young niggas fame cocky peanut butter fuckin immigrant heaven send girl safari niggas rockin preme rockin pucci niggas team army sign deal roster touch trilli eat partner yeah mix henny panties take bring say take bitch safari party leave nigga feel like safaree brain hunger pain go plate niggas hesitate share crumb shit matter shit matter shit matter shit matter shit matter shit matter okay change direction flex message yeah message fuck squad respect drive real slow lose direction baby grab fuck wheel dance magic pill yeah
eric morris,sammy dead,1964,reggae,plant piece corn gully kill poor dead dead dead dead dead dead anuh thief theif kill anuh thief theif kill grudgeful grudgeful kill grudgeful grudgeful kill plant piece corn gully kill poor dead dead dead dead dead dead anuh thief theif kill anuh thief theif kill grudgeful grudgeful kill grudgeful grudgeful kill
prince buster,lucky 7,1964,reggae,order notice favorite greatest purely base taste bada knight late knight special atlonglastaap logic incredible true story pusha push darkest prelude pimp butterfly underachievers evermore duality read late neighbor songs staple summertime dizzy grow process miller good junglepussy pregnant success statik selektah game documentary dark paradise bodega bamz sidewalk exec denzel curry zelplanet shrooms killah priest planet gods raury need days skizzy mar balloon project befor time honorary mention raekwon international luxurious
don drummond,coolie boy,1965,reggae,getit ifyall bitch want dont care thats woman basic bitch leavin comment feelin like green feelin like pimp somethin puttin hole corner pimpin somethin bedda cool game jack jumpin pharrell thang scenes frontin yayo pumpin piston guard talkin imma drummond jews droppin wrist second hitler comin think somethin imma need couple stention cord pluggin breakfast shell couple dozen scoop bitch like eazy rider cube like easy story action figgaz nigga buzzin bakin dont oven treat somethin like kegger tell chuggin spyder bitch pasenger neva buggin download lyft uber inta fuckin eye thuggin thats cuffin nothin tuff talkin pokerface know bluffin ridin hood tell huff puffin embombin fludin look like stuff temptation ruffin fake blowin kiss huggin migos pressin buddens prolly lean robotiussin ahhh shoutout cousins feel like bumblebee buzzin fuck date treat like nothin snap shit mite public rappin chick deal bitch studdin cent buck banksgots thems unit money move care maneuver ride like people movers niggas bout shit nigga manure treat like roblox bring block set roadblocks dont stop oven stave ohhhhhh treat like roblox block dont wanna slide slide wanna nigga bless nigga choo choo roblox lamborghini ride
the ethiopians,long time now,1966,reggae,long long time mind girl long long time goodnight long long time hold tight girl long long time come home somebody know break heart say long long time mind girl long long time nice time girl long time face face girl long time hold round waist girl long time long time long time long time somebody know break heart say long long time mind girl long long time nice time girl long time face face girl long time hold round waist girl long time nice time girl long time whoa whoa
the ethiopians,engine 54,1966,reggae,beep beeeepshh beep beeeepshh engine fiftyfour engine fiftyfour engine fiftyfour engine fiftyfour beep beeeepshh beep beeeepshh leave leave spanish walk montego walk montego say people countryside rely engine fiftyfour engine engine fiftyfour beep beeeepshh beep beeeepshh leave portland portland engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour
the ethiopians,give me your love,1966,reggae,gonna baby tonight gonna squeeze tonight gonna hold tight darling sure tonight tonight say want babe alright say gonna tonight say gonna tonight say gonna want alright tonight gonna want alright tonight say gonna tonight say want tonight say gonna want tonight girl tonight say gonna want tonight girl tonight say want baby tonight baby tonight say want tonight say want
prince buster,dark street,1967,reggae,describe background describe trouble life story tell like time crime cop sick try catch nuthin happen cause slick juke backbreaker pose threat life slice like krueger lyric sharp like knife rhymin imitators know vengeance rappin ready contender boys oppose catch square break nose makin trouble right makin trouble hand command nation kuklux klan scar walk street get dark play sister tuffly makin trouble right makin trouble filas cloud say bust jack feet snatch string size right thing makin trouble right makin trouble break store window crime mind thoughts assumption word doin time scream freeze hand drop break steal jam block snatch emblem caddy makin trouble right makin trouble small timers slob cause steal cars homeboy rob store dollar snatch purse lady holler cop come door snatch right collar takin jail yoyo manmade hell steel bar prevail ghetto boys trouble makers cold common thugs tearin neighborhood drug makin trouble right makin trouble
the paragons,dance with me,1967,reggae,save movie lifetime bring unauthorized save movie rejoice mind matter week distractions creativity movies deep clickbait week city movie delight deep fake clickbait stories click download right save go dance childish gambino candler road poem save unauthorized movie miss college years class screech cheesy lifetime high school sitcom controversy rape allegations pay dope thiessen steroids engel threesomes mind matter family matter distractions ipad hearthstone creativity ideas productivity city dame kill review gritty green screen style war letter media real urgency green nude alba film state tusk human centipede apatow zombie studio clerk depp coen brothers podcaster bang theory parsons deep account online hbogo hulu thank service fake news stories clickbait swat live stream play counter strike click download right smartphone download stitcher stream newest episodes subscribe itunes subscribe itunes enjoy review itunes subscribe youtube review itunes creative submit audio mashup want send
prince buster,oh love (live),1967,reggae,late tell listen ambition felon felonies fell fell knees pray niggas sleepin sneak dissin wishin nigga bitchin trippin hittin mixin makin heat beat kitchen beat kickin flippin sheet deep dickin beat switchin floatin like stingin like butterfly paradox anthropod movin like samurai lookin camera hidin neva afraid face pretty texas reppin mecca texans know drink strong drink strong fade turn pour till think ratchet dumb dumb roll letlet roll letletlet roll letletlet roll nuance crew problem know musical geniuses royalty cling know mean live dream like inception exceptional incredible breath miracle puttin fear souls hoe fall brawl undefeated palm dawg killin niggas niggas pillow soft pillow talkin boss bossin chef curry niggas know saucin whippin independent mini rent livin like goddam nigga nigga mission neva switchin bitchin city shoulder haytion entertainment better know takin prophet stop imma drop know tree smoke yeah drink pour yeah enemies live roll win drink strong drink strong fade turn pour till think ratchet dumb dumb roll letlet roll letletlet roll letletlet roll
john holt,"mercy, mercy, mercy",1967,reggae,ready brother unite unite christmas time little list favorite things count begin celebrate christmas time christmas christmas christmas christmas christmas christmas cause spend christmas christmas christmas christmas christmas christmas cause spend christmas time little list favorite things count begin celebrate christmas time christmas christmas christmas christmas christmas christmas cause spend christmas christmas christmas christmas christmas christmas cause spend need christmas christmas ones cause spend sweatin doin right
ken parker,"true, true, true",1967,reggae,gonna wander near home gonna little rain cool time true true true true true true good woman good woman good true true true true true true good woman good woman good true true true true true true
prince buster,shanty town,1967,reggae,yeah niggas want yeah bitch want cause fuck whoop laugh know hand niggas like sumtin bitch like sumtin niggas like sumtin build shit grind break niggas stay shawty fuck promise clown tough pistol right pelvis rebellious hang hustlers felons buy jealous know bitch head bomb lick dawg bond nigga nigga word niggas like sumtin niggas like sumtin niggas like sumtin niggas like sumtin probably cause fuck pink robitussin know buss dude homie bust favor haters open door whore know feel like sleep floor know feel like walk store tell need drawers flashbacks past life thank cash right face pretty nice say half look laugh twice straight slice tell hype look like night bitch like sumtin bitch like sumtin bitch like sumtin bitch like sumtin
desmond dekker,sweet music,1967,reggae,sweet music sound freedom sweet music sound freedom time come cooperate time come live unity advice wise bear free stay free yeah sweet music sound freedom sweet music sound freedom
the gaylads,i am free,1967,reggae,mordred dagonet nobles enter queen great trouble enter mador knight bring dead body cry treason treason queen take state accuse queen liege substance thine accusation murder sire murder foul treacherous knight murder foul treacherous body knight brother patrise thou knowest courteous knight steadfastness thee court strange relate circumstances twas banquet invite queen madam sitteth meat courtesy press partake fruit partake brother dead knight fall agony extreme mortal soul go lieth thou seest knight true saith foul damnable murder turn queen madam sayest thou accusation guin false foul innocent deed aside true thou seest dead knight witness justice thee hast thou defence offer guin lord queen damnable fore heaven innocent strange murder aside soul flame accord ancient laws guest die suspicious manner proof grievous intent present accuse condemn burn stake guin great heaven foul punishment foul crime knight justice trial sire accuse woman knight prove innocence body body accuser time death accomplish follow weight witness turn queen queen britain believe thee guiltless crime whereof thou accuse thou hast say free prove thine innocence body thou procurest knight assoil thee time appoint condemn thee take place public note burn death requireth guin great heaven
alton ellis,let him try,1967,reggae,darling give try feel heart suffer cry give pride whosoever try word word suffer cry give pride whosoever try
the paragons,a silver bird,1967,reggae,fallow land plan grand bring prime silver flame come silver flame time sylphlike view mirage paragon beauty land leal sky divine constant glare give heir brightest grand design memories time begin hold perennial plan kestrel ship hull happen wealth ideas inspirit worlds essence pacific mesmerize boundless alliance await vagaries strain effect time cease leave direct sow wind reap whirlwind mount high horse discover force blueprint genuine world gods mesmerize boundless alliance await brightest grand design spirit flow come know late throw away beauty hear ring gaia voice fade things turn concern mere child play stony cold stairway happen take chin overcast line linger sound slope fly stroke genius entomb current time sense reason rhyme forever go dismay grand design fade world seethe rage build cage reach soon time manmade moon strong change force rearrange heaven earth ring rebirth wits doubt go follow line life grand design
